RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597139289530	 	3.0.3
REQUEST	113		requestAggregation	1597139293515	1597139293689	OK	 
USER	AggRestSimulation	124	START	1597139293694	1597139293694
REQUEST	109		requestAggregation	1597139293432	1597139293701	OK	 
USER	AggRestSimulation	125	START	1597139293714	1597139293714
REQUEST	122		login	1597139293654	1597139293712	OK	 
REQUEST	123		login	1597139293674	1597139293712	OK	 
REQUEST	124		login	1597139293694	1597139293734	OK	 
USER	AggRestSimulation	126	START	1597139293735	1597139293735
REQUEST	125		login	1597139293715	1597139293755	OK	 
USER	AggRestSimulation	127	START	1597139293756	1597139293756
REQUEST	116		requestAggregation	1597139293576	1597139293760	OK	 
REQUEST	114		requestAggregation	1597139293538	1597139293769	OK	 
USER	AggRestSimulation	128	START	1597139293771	1597139293771
REQUEST	115		requestAggregation	1597139293559	1597139293772	OK	 
REQUEST	126		login	1597139293736	1597139293777	OK	 
USER	AggRestSimulation	129	START	1597139293791	1597139293791
REQUEST	118		requestAggregation	1597139293610	1597139293792	OK	 
REQUEST	127		login	1597139293756	1597139293797	OK	 
REQUEST	117		requestAggregation	1597139293600	1597139293797	OK	 
REQUEST	128		login	1597139293772	1597139293812	OK	 
USER	AggRestSimulation	130	START	1597139293822	1597139293822
USER	AggRestSimulation	131	START	1597139293832	1597139293832
REQUEST	129		login	1597139293792	1597139293842	OK	 
USER	AggRestSimulation	132	START	1597139293852	1597139293852
REQUEST	119		requestAggregation	1597139293632	1597139293855	OK	 
REQUEST	121		requestAggregation	1597139293686	1597139293865	OK	 
REQUEST	130		login	1597139293823	1597139293868	OK	 
REQUEST	120		requestAggregation	1597139293650	1597139293867	OK	 
REQUEST	131		login	1597139293833	1597139293871	OK	 
USER	AggRestSimulation	133	START	1597139293873	1597139293873
REQUEST	132		login	1597139293853	1597139293893	OK	 
USER	AggRestSimulation	134	START	1597139293894	1597139293894
REQUEST	122		requestAggregation	1597139293717	1597139293902	OK	 
REQUEST	123		requestAggregation	1597139293717	1597139293911	OK	 
REQUEST	133		login	1597139293874	1597139293913	OK	 
USER	AggRestSimulation	135	START	1597139293915	1597139293915
REQUEST	134		login	1597139293895	1597139293929	OK	 
REQUEST	124		requestAggregation	1597139293735	1597139293934	OK	 
USER	AggRestSimulation	136	START	1597139293935	1597139293935
USER	AggRestSimulation	137	START	1597139293950	1597139293950
REQUEST	135		login	1597139293916	1597139293951	OK	 
REQUEST	126		requestAggregation	1597139293783	1597139293967	OK	 
USER	AggRestSimulation	138	START	1597139293971	1597139293971
REQUEST	136		login	1597139293936	1597139293974	OK	 
REQUEST	137		login	1597139293951	1597139293989	OK	 
REQUEST	128		requestAggregation	1597139293813	1597139293989	OK	 
USER	AggRestSimulation	139	START	1597139293992	1597139293992
REQUEST	125		requestAggregation	1597139293756	1597139293995	OK	 
REQUEST	127		requestAggregation	1597139293798	1597139293995	OK	 
REQUEST	138		login	1597139293972	1597139294010	OK	 
USER	AggRestSimulation	140	START	1597139294012	1597139294012
REQUEST	139		login	1597139293992	1597139294030	OK	 
USER	AggRestSimulation	141	START	1597139294033	1597139294033
REQUEST	140		login	1597139294013	1597139294048	OK	 
USER	AggRestSimulation	142	START	1597139294053	1597139294053
REQUEST	141		login	1597139294033	1597139294071	OK	 
REQUEST	131		requestAggregation	1597139293872	1597139294073	OK	 
REQUEST	129		requestAggregation	1597139293843	1597139294073	OK	 
USER	AggRestSimulation	143	START	1597139294074	1597139294074
REQUEST	130		requestAggregation	1597139293872	1597139294088	OK	 
REQUEST	142		login	1597139294054	1597139294094	OK	 
USER	AggRestSimulation	144	START	1597139294094	1597139294094
REQUEST	132		requestAggregation	1597139293894	1597139294096	OK	 
REQUEST	143		login	1597139294074	1597139294108	OK	 
USER	AggRestSimulation	145	START	1597139294115	1597139294115
REQUEST	144		login	1597139294095	1597139294129	OK	 
USER	AggRestSimulation	146	START	1597139294130	1597139294130
REQUEST	133		requestAggregation	1597139293914	1597139294131	OK	 
